scenario_id,month,month_name,installed_kwp,system_loss_pct,tilt_deg,azimuth_deg,latitude,longitude,elevation_m,monthly_kwh,avg_daily_kwh,irradiance_monthly,irradiance_daily_avg,monthly_std_dev,source_file
StAug_Array1_Pitched,1,Jan,10.455,14,20,64,53.547,-113.425,663,379.92,12.26,43.52,1.4,25.34,StAug_Array1_Pitched.csv
StAug_Array1_Pitched,2,Feb,10.455,14,20,64,53.547,-113.425,663,666.06,23.79,73.07,2.61,56.58,StAug_Array1_Pitched.csv
StAug_Array1_Pitched,3,Mar,10.455,14,20,64,53.547,-113.425,663,1152.45,37.18,128.12,4.13,73.94,StAug_Array1_Pitched.csv
StAug_Array1_Pitched,4,Apr,10.455,14,20,64,53.547,-113.425,663,1401.45,46.71,161.6,5.39,114.3,StAug_Array1_Pitched.csv
StAug_Array1_Pitched,5,May,10.455,14,20,64,53.547,-113.425,663,1598.17,51.55,191.98,6.19,118.42,StAug_Array1_Pitched.csv
StAug_Array1_Pitched,6,Jun,10.455,14,20,64,53.547,-113.425,663,1529.46,50.98,187.21,6.24,99.47,StAug_Array1_Pitched.csv
StAug_Array1_Pitched,7,Jul,10.455,14,20,64,53.547,-113.425,663,1563.36,50.43,193.41,6.24,80.57,StAug_Array1_Pitched.csv
StAug_Array1_Pitched,8,Aug,10.455,14,20,64,53.547,-113.425,663,1373.02,44.29,168.96,5.45,86.59,StAug_Array1_Pitched.csv
StAug_Array1_Pitched,9,Sep,10.455,14,20,64,53.547,-113.425,663,1037.64,34.59,125.31,4.18,119.41,StAug_Array1_Pitched.csv
StAug_Array1_Pitched,10,Oct,10.455,14,20,64,53.547,-113.425,663,698.72,22.54,82.58,2.66,80.97,StAug_Array1_Pitched.csv
StAug_Array1_Pitched,11,Nov,10.455,14,20,64,53.547,-113.425,663,397.76,13.26,46.68,1.56,31.01,StAug_Array1_Pitched.csv
StAug_Array1_Pitched,12,Dec,10.455,14,20,64,53.547,-113.425,663,298.66,9.63,34.99,1.13,21.42,StAug_Array1_Pitched.csv
StAug_Array2_Flat,1,Jan,14.76,14,10,127,53.547,-113.425,663,247.91,8,24.57,0.79,10.29,StAug_Array2_Flat.csv
StAug_Array2_Flat,2,Feb,14.76,14,10,127,53.547,-113.425,663,573.84,20.49,49.15,1.76,31.68,StAug_Array2_Flat.csv
StAug_Array2_Flat,3,Mar,14.76,14,10,127,53.547,-113.425,663,1243.15,40.1,100.98,3.26,65.96,StAug_Array2_Flat.csv
StAug_Array2_Flat,4,Apr,14.76,14,10,127,53.547,-113.425,663,1724.63,57.49,141.93,4.73,129.12,StAug_Array2_Flat.csv
StAug_Array2_Flat,5,May,14.76,14,10,127,53.547,-113.425,663,2128.62,68.67,180.66,5.83,147.65,StAug_Array2_Flat.csv
StAug_Array2_Flat,6,Jun,14.76,14,10,127,53.547,-113.425,663,2100.79,70.03,181.51,6.05,135.6,StAug_Array2_Flat.csv
StAug_Array2_Flat,7,Jul,14.76,14,10,127,53.547,-113.425,663,2110.13,68.07,184.4,5.95,104.83,StAug_Array2_Flat.csv
StAug_Array2_Flat,8,Aug,14.76,14,10,127,53.547,-113.425,663,1732.06,55.87,151.68,4.89,98.65,StAug_Array2_Flat.csv
StAug_Array2_Flat,9,Sep,14.76,14,10,127,53.547,-113.425,663,1154.09,38.47,101.27,3.38,112.78,StAug_Array2_Flat.csv
StAug_Array2_Flat,10,Oct,14.76,14,10,127,53.547,-113.425,663,644.62,20.79,58.47,1.89,44.01,StAug_Array2_Flat.csv
StAug_Array2_Flat,11,Nov,14.76,14,10,127,53.547,-113.425,663,282.45,9.41,27.94,0.93,22.27,StAug_Array2_Flat.csv
StAug_Array2_Flat,12,Dec,14.76,14,10,127,53.547,-113.425,663,165.5,5.34,17.77,0.57,14.1,StAug_Array2_Flat.csv
